Comment,Designator,Footprint,LCSC
C,"C1,C10,C11,C12,C2,C3,C4,C5,C6,C7,C8,C9",C_0603_1608Metric,C14663
Conn_02x15_Odd_Even,J1,PinSocket_2x15_P2.54mm_Horizontal,
TXU0104PWR,U6,TXU0104PWR,
TXU0104PWR,U5,TXU0104PWR,
Conn_02x15_Odd_Even,J2,PinHeader_2x15_P2.54mm_Horizontal,
TXU0104PWR,U4,TXU0104PWR,
TXU0104PWR,U2,TXU0104PWR,
TXU0104PWR,U1,TXU0104PWR,
TXU0104PWR,U3,TXU0104PWR,
